[*] 瑁佸垽鍚姩: pypy 鎵х孩鍏堣(姣忕潃 1.5s) vs pypy3 鎵ч粦(姣忕潃 1.5s), 闅忔満绉嶅瓙 20260920
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine)
[engine_server] 棰勭儹瀹屾垚
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine_v3)
[engine_server] 棰勭儹瀹屾垚
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[*] 绾㈡柟寮曟搸: pypy (miaosiSari 鍘熺増, alpha-beta)
[*] 榛戞柟寮曟搸: pypy3 (v5.6 鍩虹嚎+鐪熼潤鎬佹悳绱?
[  1] 绾?b2b9 (7, 1)->(0, 1) 缈诲紑=浠?鍚?b杌?鐢ㄦ椂 0.95s (score=154 depth=5)
[ 98] 榛?e6f7 (6, 4)->(7, 3)  鐢ㄦ椂 0.92s (score=3 depth=8)
[ 99] 绾?b1b5 (8, 1)->(4, 1)  鐢ㄦ椂 0.87s (score=-1 depth=7)
[100] 榛?b4b5 (4, 7)->(5, 7)  鐢ㄦ椂 1.51s (score=20 depth=8)
[101] 绾?b5e5 (4, 1)->(4, 4)  鐢ㄦ椂 0.94s (score=4 depth=7)
[102] 榛?b5b6 (5, 7)->(6, 7)  鐢ㄦ椂 1.43s (score=2 depth=9)
[103] 绾?b7c7 (2, 1)->(2, 2)  鐢ㄦ椂 0.80s (score=0 depth=7)
[104] 榛?b6b7 (6, 7)->(7, 7)  鐢ㄦ椂 0.93s (score=17 depth=8)
[105] 绾?c7c8 (2, 2)->(1, 2)  鐢ㄦ椂 1.06s (score=15 depth=7)
[106] 榛?b7b8 (7, 7)->(8, 7)  鐢ㄦ椂 1.46s (score=10 depth=9)
[107] 绾?e2e3 (7, 4)->(6, 4)  鐢ㄦ椂 0.98s (score=10 depth=7)
[108] 榛?b8c8 (8, 7)->(8, 6)  鐢ㄦ椂 1.53s (score=5 depth=8)
[109] 绾?c8d8 (1, 2)->(1, 3)  鐢ㄦ椂 0.77s (score=12 depth=7)
[110] 榛?f7e6 (7, 3)->(6, 4) 鍚?r鍏?鐢ㄦ椂 1.53s (score=12 depth=8)
[111] 绾?e5e7 (4, 4)->(2, 4)  鐢ㄦ椂 1.10s (score=-8 depth=7)
[112] 榛?c8d8 (8, 6)->(8, 5)  鐢ㄦ椂 1.32s (score=12 depth=9)
[113] 绾?e7f7 (2, 4)->(2, 5)  鐢ㄦ椂 1.56s (score=-1 depth=7)
[114] 榛?e0d0 (0, 4)->(0, 5)  鐢ㄦ椂 1.51s (score=-10 depth=9)
[115] 绾?d8e8 (1, 3)->(1, 4)  鐢ㄦ椂 0.94s (score=12 depth=7)
[116] 榛?e6f7 (6, 4)->(7, 3)  鐢ㄦ椂 1.07s (score=3 depth=10)
[117] 绾?f7f5 (2, 5)->(4, 5)  鐢ㄦ椂 1.19s (score=5 depth=9)
[118] 榛?d8e8 (8, 5)->(8, 4)  鐢ㄦ椂 1.30s (score=12 depth=11)
[119] 绾?e0f0 (9, 4)->(9, 5)  鐢ㄦ椂 1.02s (score=-10 depth=10)
[120] 榛?f7g6 (7, 3)->(6, 2)  鐢ㄦ椂 1.40s (score=-3 depth=10)
