[*] 瑁佸垽鍚姩: pypy 鎵х孩鍏堣(姣忕潃 1.5s) vs pypy57 鎵ч粦(姣忕潃 1.5s), 闅忔満绉嶅瓙 20260935
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine)
[engine_server] 棰勭儹瀹屾垚
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine_v57)
[engine_server] 棰勭儹瀹屾垚
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[*] 绾㈡柟寮曟搸: pypy (miaosiSari 鍘熺増, alpha-beta)
[*] 榛戞柟寮曟搸: pypy57 (v5.7 鍩虹嚎, 鏃犻噸澶嶆劅鐭?
[ 94] 榛?d0e0 (0, 5)->(0, 4)  鐢ㄦ椂 0.87s (score=10 depth=10)
[ 95] 绾?f8f9 (1, 5)->(0, 5)  鐢ㄦ椂 1.21s (score=-14 depth=9)
[ 96] 榛?e0f0 (0, 4)->(0, 3)  鐢ㄦ椂 1.14s (score=-10 depth=9)
[ 97] 绾?e1d0 (8, 4)->(9, 3) 鍚?b鍗?鐢ㄦ椂 1.37s (score=86 depth=9)
[ 98] 榛?g5e6 (5, 2)->(6, 4) 鍚?r鍏?鐢ㄦ椂 1.19s (score=16 depth=8)
[ 99] 绾?f1f2 (8, 5)->(7, 5)  鐢ㄦ椂 1.52s (score=-10 depth=9)
[100] 榛?f8f9 (8, 3)->(9, 3) 鍚?r浠?鐢ㄦ椂 1.19s (score=90 depth=8)
[101] 绾?f9g9 (0, 5)->(0, 6)  鐢ㄦ椂 1.00s (score=-2 depth=9)
[102] 榛?b1b2 (1, 7)->(2, 7)  鐢ㄦ椂 0.78s (score=1 depth=7)
[103] 绾?g9f9 (0, 6)->(0, 5)  鐢ㄦ椂 0.80s (score=2 depth=8)
[104] 榛?b2b3 (2, 7)->(3, 7)  鐢ㄦ椂 1.51s (score=8 depth=7)
[105] 绾?f9g9 (0, 5)->(0, 6)  鐢ㄦ椂 0.78s (score=-2 depth=8)
[106] 榛?b3b4 (3, 7)->(4, 7)  鐢ㄦ椂 0.71s (score=22 depth=7)
[107] 绾?g9f9 (0, 6)->(0, 5)  鐢ㄦ椂 1.13s (score=2 depth=9)
[108] 榛?b4b5 (4, 7)->(5, 7)  鐢ㄦ椂 1.54s (score=20 depth=7)
[109] 绾?a4c6 (5, 0)->(3, 2)  鐢ㄦ椂 1.31s (score=10 depth=8)
[110] 榛?b5b6 (5, 7)->(6, 7)  鐢ㄦ椂 0.88s (score=2 depth=7)
[111] 绾?c6e4 (3, 2)->(5, 4)  鐢ㄦ椂 0.78s (score=-5 depth=8)
[112] 榛?e6f8 (6, 4)->(8, 3)  鐢ㄦ椂 0.71s (score=-3 depth=7)
[113] 绾?f2f1 (7, 5)->(8, 5)  鐢ㄦ椂 0.97s (score=10 depth=9)
[114] 榛?f8g6 (8, 3)->(6, 2)  鐢ㄦ椂 1.44s (score=5 depth=8)
